customer_id,age,gender,signup_date,last_purchase_date,total_purchases,avg_purchase_value,is_active,churned
7602076e-427b-4c9e-bdec-181f9cf9a5ae,56,Male,2023-02-04,2025-04-01,4,251.0,1,0
95fda49f-1e60-4d2c-8f05-6db740f18a52,69,Female,2024-12-14,2025-07-10,8,155.37,1,0
ebfbf8a6-36cf-4678-bcdb-acce55a2d6ac,46,Female,2025-04-22,2025-03-26,2,299.25,1,0
c3a870d4-e33c-4640-a917-5d96e1ccb1fa,32,Female,2022-10-04,2024-11-29,4,233.66,0,0
38c4044e-4d7e-4a97-bc50-148fcc588566,60,Male,2023-01-03,2024-11-24,4,129.49,1,0
346eef57-0701-4ef2-8bba-e026285c6abf,25,Female,2023-06-15,2025-01-14,8,60.44,0,0
eba5b1c6-a0fb-4094-aec4-4fcd7a2ca847,38,Female,2022-10-23,2025-01-27,4,379.13,1,1
a9c41b16-5abb-4076-b35c-b8eb4b90f2b5,56,Female,2023-01-30,2024-12-09,6,320.23,1,0
dd3d0689-d49a-435b-8fc4-84c0c0e60802,36,Male,2023-05-15,2024-12-24,4,26.14,0,0
ab06d399-128a-4dc7-8028-9e37392dde0f,40,Male,2023-09-10,2024-10-30,9,494.79,1,1
da115aac-d069-4acf-af66-68aa0810c956,28,Female,2025-04-18,2025-06-10,5,324.82,0,0
5bb743b8-03aa-407d-9e6b-65ce7ab4ce82,28,Female,2023-12-16,2025-02-02,7,111.52,1,1
3c82abc7-e26a-42de-9c79-465d8afc332d,41,Female,2022-12-27,2025-03-13,2,421.84,1,0
3f138847-2f6a-46e0-8936-054974720336,53,Male,2023-10-04,2025-07-19,4,442.23,0,0
bbd4ba73-91af-473f-8d36-ddcc45753f49,57,Male,2025-07-01,2024-12-13,4,291.11,0,1
0a9bca45-e866-4180-8df3-79a7d79dc25b,41,Male,2024-03-08,2025-04-12,7,443.93,1,0
3395e1c3-1107-4b24-8314-7497b7d3ecc3,20,Female,2023-09-01,2024-12-08,3,24.29,1,1
bec1c1e9-2d83-45cc-88f3-a8af7b69714b,39,Male,2025-05-02,2025-06-26,4,473.13,1,1
9e14e7e9-96c0-4243-beeb-e33efeb9aabe,19,Female,2025-04-23,2025-01-09,3,38.03,0,1
97dfffd1-ebdc-4f09-9a65-14b63460cfeb,41,Female,2024-11-13,2025-04-16,3,324.77,0,0
0cadeb8d-3100-44a7-8500-0d6994f17f2f,61,Male,2023-04-17,2024-08-23,2,179.49,1,0
ea0521ee-29e0-456a-aa87-3791e524a503,47,Female,2024-12-22,2024-12-31,10,29.26,1,1
a40d413d-fd22-4ccd-a549-cb28df2fcdfd,55,Male,2024-08-28,2025-07-11,3,465.35,0,0
a965e84c-e555-41ec-8b97-497ff0593a24,19,Female,2023-03-20,2024-12-21,2,76.33,1,0
a8ff531b-3fe0-4dcb-a5ee-110eada21724,38,Female,2023-04-28,2025-03-19,6,428.33,1,0
b726483e-46e6-49bf-92e2-c72b1e22d4f8,50,Male,2025-03-19,2025-01-02,4,171.87,1,0
3b188d54-49e3-4c68-93bc-f04fb7fd5f27,29,Female,2022-12-20,2024-09-15,6,373.17,0,1
6e543655-6870-4af3-b34b-b2018f08681d,39,Female,2022-11-02,2024-10-16,2,134.57,0,0
f5df58a6-6592-4520-a30c-ab7c13b42f32,61,Female,2024-04-28,2024-09-27,4,295.88,1,0
8f87fb63-9cb2-4178-9838-7029b877f164,42,Female,2023-05-18,2024-08-04,9,401.78,1,0
40fb4dd3-f4ce-4abd-8ed0-869ee3430855,66,Female,2023-12-03,2025-05-13,10,287.43,1,1
7ebc68c7-8cb5-46cb-b783-6014a5f2c50a,44,Female,2022-10-13,2025-08-01,5,160.21,1,0
d4e0d078-fdd2-4de1-a7f1-843cc2d9a3c8,59,Female,2024-01-25,2024-09-08,2,124.38,1,1
f4e192f8-c2cc-4857-8af3-0efd2794eeab,45,Female,2023-10-30,2025-06-27,3,95.65,1,0
00ea9ddc-528b-4a35-b2ee-c1952c452869,33,Male,2024-06-06,2024-09-04,7,421.02,1,0
7afb0a73-eb0e-4de9-b544-25f841e533ed,32,Male,2023-07-09,2025-03-16,6,309.36,0,0
df730a4c-6020-4fa9-9cb6-dcba7cd9588d,64,Female,2022-10-08,2024-11-03,4,259.25,1,0
138b764e-e632-4405-ba20-448f0dc9b85c,68,Female,2022-08-13,2024-10-09,2,132.29,0,1
0cfe4e27-0b2b-418c-bde9-1f178ad97ddf,61,Male,2025-01-19,2024-08-08,7,222.54,1,0
4b8fe1ac-1f67-44e5-964a-fab9cba4fd18,69,Female,2025-06-21,2025-04-11,6,313.83,0,0
269815ec-015d-4900-ae3c-910fa4d89ce2,20,Male,2024-04-02,2024-12-19,7,45.22,0,0
16d76aa5-a288-4f6d-959b-b67e5849c831,54,Male,2024-10-16,2025-02-22,7,186.75,1,0
35882bba-aabd-4502-bdec-50fe21cf9c59,68,Male,2025-06-28,2025-05-18,3,127.36,0,0
23864c52-1d4a-4e71-8ed0-883ab3ba01fc,24,Female,2024-10-24,2024-11-30,3,326.79,0,0
ddc41029-f3c2-441d-b4a8-849f6c10ef5e,38,Female,2024-03-01,2025-01-07,4,307.07,0,0
05883a8a-10d8-44a5-a69d-dfd4f3d71e12,26,Female,2023-08-31,2024-08-21,5,156.71,1,0
bd21e5e5-14c7-43bb-b261-457cb1969dec,56,Male,2025-01-15,2024-10-29,2,30.4,1,1
0f4e4942-58d3-4144-9a49-e521941eb800,35,Male,2023-02-08,2025-04-09,4,99.58,0,0
3e3d6e3c-cfcf-4f61-bb2d-79f2180e0d5e,21,Male,2025-06-05,2025-06-15,7,88.43,1,0
3672e25c-5389-4627-b26f-a95a8ac4060a,42,Female,2024-09-04,2025-03-04,5,288.51,0,0
e1005797-145f-42f0-82b6-d069ec2229c2,31,Male,2025-03-28,2024-08-05,6,92.95,0,0
38257217-02b7-4cec-87dd-445db7b0170a,67,Male,2023-05-25,2025-06-16,4,246.34,1,0
6112d0d7-8956-4aa2-9e75-8a3c1dbdaca5,26,Female,2024-02-02,2025-02-24,9,311.12,1,0
3a1d5a3e-ed8f-4779-8720-01db6aa6f4c4,43,Male,2024-05-01,2025-06-10,2,440.99,1,1
3badc22b-868e-45ce-8b01-307ca7ba26ba,19,Male,2022-10-09,2025-05-08,6,130.06,1,0
8ee98630-29be-410d-a05c-d57312c6c9a4,37,Female,2023-11-23,2024-08-23,4,101.1,1,0
cbf3f77a-07ec-4ef8-b489-33273812eb95,45,Female,2023-06-14,2025-06-30,3,94.89,0,1
02b87b58-c641-4900-91ae-197bf66eed37,64,Male,2025-02-02,2025-05-30,6,186.61,1,0
2dda1f2f-2655-4183-98d2-b8cdf54a34b6,24,Female,2025-05-20,2024-10-16,7,328.1,1,0
4503ba3b-4b69-4e88-a000-81b8a71d1082,61,Male,2022-10-29,2025-07-28,8,339.21,1,1
be4b7baf-9db5-4e78-b0be-2ffd4ba5ab49,25,Female,2023-12-01,2025-02-15,9,113.37,0,1
59ce4735-e10c-4d82-a962-7d81bc29c085,64,Male,2024-05-13,2025-02-24,5,74.3,1,0
5c3b3996-c37a-43ba-9fd0-fb78d2ce5a43,52,Female,2023-07-31,2025-01-15,4,229.85,0,0
4078b8d8-5948-4ac1-98e3-1ae19ecbc777,31,Male,2023-10-29,2025-07-22,3,79.18,1,0
9342a55a-1015-4e2f-a70d-e74e9172e91e,34,Female,2022-10-31,2025-03-08,7,408.33,0,0
3a4b3337-0f43-4d71-9465-cccc33402e9e,53,Female,2025-05-27,2025-04-09,4,51.1,0,0
abb97826-ec61-47ba-b97f-0f48e11fc39d,67,Female,2024-03-18,2025-06-27,8,378.53,1,1
4f01e0db-1fb2-4349-9fb6-fe3211b632da,57,Female,2024-05-16,2025-07-14,8,30.9,1,1
f35f8d00-f71b-448a-883e-1e8914bdca40,21,Female,2024-02-14,2025-05-15,1,405.42,1,0
2dc4e0c6-cee7-4731-aa84-9eadd45abb10,19,Female,2022-09-22,2025-01-07,5,317.3,1,1
e45f8ce2-e73b-4d56-9c3f-3588a960acc5,23,Female,2025-04-21,2025-03-21,4,167.96,1,0
80e3210f-458e-4931-a6ec-a7c838bc890f,59,Male,2024-03-14,2025-01-18,3,208.7,1,0
a9f9a3f2-4505-43b9-ab67-81e146eeb97e,21,Male,2025-04-15,2025-06-04,2,340.07,1,0
9b88c9f2-7122-41fe-af5d-7f3d6f1196c8,46,Female,2025-06-09,2024-11-11,8,100.96,1,0
e7af1c2d-02d1-4ee1-9186-8f48e9b90f77,35,Female,2025-01-14,2024-09-08,8,446.26,1,0
e30d41a8-f0af-46d4-bb5a-0671a31ec5bd,43,Male,2022-08-15,2024-12-01,3,246.61,1,0
fa30ffab-fd5f-48a8-b4f1-65305bc52429,61,Male,2023-03-07,2025-06-11,4,382.47,0,0
b9cef0c1-2dcc-44e0-b7b1-0b162a795d99,51,Female,2024-07-18,2024-08-17,12,258.28,0,0
e20739ca-f5eb-48b8-b70f-ac939dd005be,27,Male,2025-04-03,2025-04-10,3,231.62,1,0
2d77c032-56aa-465b-9a50-0ba1d64ca7eb,53,Male,2023-08-10,2025-06-06,3,240.11,0,1
b0579fb8-ee1a-4386-9aaa-9024f25c6e55,31,Female,2023-11-09,2025-07-28,4,187.93,1,0
1a833d6b-db00-4b47-a181-74d689ba5a9f,48,Female,2023-08-19,2025-05-30,3,369.05,1,0
6ae1efdb-d1eb-400c-95f2-2ad9aa3e6108,65,Female,2025-04-29,2025-05-16,4,424.61,0,0
68016692-4c8d-4a3a-bc6a-6ca35fc4124d,32,Male,2022-11-03,2025-02-07,6,428.65,0,0
f0ca1aad-f182-4daa-844f-e859564e5e23,25,Female,2024-03-08,2024-12-02,4,69.36,1,1
695d471c-875f-4228-bb47-85406e431015,31,Female,2024-05-30,2025-05-16,3,383.07,1,1
d446ddda-7549-4ab6-8020-6640632fc277,40,Male,2025-07-26,2025-02-03,8,107.98,1,0
e467ea06-687f-42d9-a069-6dc1148c9c3a,57,Female,2023-07-07,2025-01-19,2,15.97,0,0
a4f781cf-17ea-4152-b3f0-9961a3bcf8cc,38,Male,2024-07-24,2025-05-19,3,144.97,1,1
0a84529f-789f-43f0-b772-1288636f04e0,33,Male,2022-10-19,2024-09-23,7,153.51,1,0
84de2afc-decb-4ee9-a024-f1607aa1f9eb,62,Male,2023-05-10,2025-07-06,3,406.8,1,0
ba29c50f-fec8-4eca-afda-cb9eed72ceac,35,Male,2025-07-16,2024-09-01,7,373.77,1,0
cf0a0121-fea4-4289-936a-f4b06c0d55fa,64,Male,2024-07-22,2025-05-04,5,51.5,1,0
6e8b8d5d-df38-4423-ad05-df3acb2baeef,41,Male,2024-06-27,2025-04-24,2,169.72,1,1
9ab41acd-7a1c-4ae3-824c-9d4306b6a61e,43,Female,2023-11-07,2025-03-31,9,133.14,1,1
d4385117-74e7-4fac-8022-aa11c06c5b3d,42,Female,2023-03-27,2024-10-01,4,301.77,0,0
3903f80a-058f-4065-a543-a8ef4428633f,62,Female,2024-04-04,2024-11-02,3,275.34,0,0
9ffb98e9-de9d-421c-8b62-4ac4e46086a8,58,Male,2023-02-19,2025-06-09,1,342.67,0,0
7f6a2fff-a79f-4013-9143-62faa42e0b44,46,Female,2025-05-28,2025-01-05,2,456.26,0,1
cc0cd978-ca78-4eca-ba4a-c2fa658f4c72,32,Male,2023-01-30,2025-05-11,6,216.33,0,1
7966c883-1de5-4cd4-a2c5-d2f7bd40af90,62,Female,2024-09-05,2024-08-18,10,331.4,1,0
41c4957b-de61-42fb-952a-57c019664116,18,Male,2023-02-27,2024-12-27,6,459.99,1,1
15d8a176-9a14-43e7-af7d-67873d7cac8c,42,Female,2024-02-20,2025-06-07,6,275.42,1,1
cda6d8bf-cc3d-4f9e-8849-2e925e687c9e,24,Male,2023-09-01,2025-06-30,2,161.06,1,0
8b223bed-9847-45ea-9de6-cd0406c7a463,26,Female,2024-03-19,2025-07-05,4,207.42,1,0
83865c0a-ac75-4550-a83b-79623a7611f6,41,Male,2024-06-21,2024-10-10,5,379.76,0,0
a7070e04-121a-4554-b397-45d39a43e18a,18,Female,2025-04-21,2024-10-07,8,362.81,1,0
cbbb42f2-239f-465e-abaf-d45a8b583f97,61,Male,2024-08-11,2025-01-06,5,376.72,1,0
4075b672-ece3-48b4-bbc5-29cc26752662,25,Female,2024-11-24,2025-07-07,3,374.22,1,1
96093c71-603f-424e-a22a-fe7af13cbb3a,41,Female,2025-05-05,2025-07-21,1,461.02,1,0
68a771fc-b367-4259-a3dc-a15578c2a1fd,28,Female,2022-12-16,2024-12-21,7,384.36,1,0
